ST_CASE,LATITUDE,LONGITUD
62426,34.10668333,-117.3977917
62427,33.93773056,-118.3439444
62428,33.94943889,-118.1821639
62429,34.17366111,-118.9496972
62430,37.68275278,-121.7341556
62431,34.10655278,-117.3966167
62432,33.94537778,-118.357075
62433,37.68005278,-121.7741167
62434,34.99573889,-116.5709583
62435,37.68614722,-120.9943444
62436,36.439425,-121.920975
62437,36.77675833,-119.7984944
62438,34.1993,-118.8610333
62439,37.67559722,-121.0077139
62440,37.60930278,-120.8781306
62441,36.77202222,-119.8257139
62442,33.12881389,-117.2381917
62443,36.75047778,-119.6751278
62444,37.59340833,-120.9592611
62445,37.64,-122.4426639
62446,38.73743333,-123.4856694
62447,36.13701667,-120.2713833
62448,34.06909722,-117.3583583
62449,34.15437778,-118.377675
62450,34.03521667,-118.3361722
62451,37.73971389,-121.4249583
62452,33.93485833,-118.1222833
62453,38.73440833,-121.2719917
62454,38.340725,-121.9701694
62455,37.78486111,-122.4213278
62456,32.89170278,-117.1677694
62457,32.85223333,-117.1948278
62458,33.79971389,-117.8368
62459,33.789525,-118.2769583
62460,33.94561389,-118.2612611
62461,34.02151111,-118.3723194
62462,33.92948056,-118.2531139
62463,37.91427778,-122.324
62464,37.40274722,-121.9092722
62465,35.36342778,-119.0029361
62466,33.29578333,-116.8912917
62467,34.76148333,-114.5735472
62468,34.32527222,-117.4266889
62469,38.49588056,-121.7802139
62470,38.70132222,-120.8668667
62471,34.15996389,-117.1830778
62472,40.33458333,-120.5512806
62473,38.54944722,-121.3723944
62474,36.60532778,-119.5998806
62475,33.87668889,-118.1328694
62476,37.75434444,-121.3619083
62477,37.9621,-121.9297833
62478,33.7749,-118.0383833
62479,33.29069722,-117.2249889
62480,36.71906111,-119.7853583
62481,40.58531111,-122.3642306
62482,37.57688056,-122.3204972
62483,34.85558056,-118.8749167
62484,33.73633889,-117.9946667
62485,33.91980833,-117.2844361
62486,35.152625,-118.9146361
62487,36.32799722,-119.6153917
62488,37.70363333,-121.7727944
62489,34.07219722,-117.5452111
62490,38.53883611,-121.4737306
62491,38.26393056,-121.5246667
62492,36.47904722,-119.6348139
62493,33.85251667,-118.2852
62494,33.98043611,-118.2401333
62495,35.7593,-119.7595694
62496,33.77303333,-118.1285
62497,33.80291389,-117.9986278
62498,32.71586667,-117.1592778
62499,34.71868611,-118.1836972
62500,37.60596389,-122.0469806
62501,36.85206944,-119.7230806
62502,34.05578333,-118.4264417
62503,33.94996111,-118.1520917
62504,33.95680833,-118.1277056
62505,37.98211111,-122.0420667
62506,37.99628611,-122.1175528
62507,33.55338333,-116.6726167
62508,34.642925,-120.4330472
62509,34.60340556,-120.2070139
62510,35.331525,-119.0397194
62511,34.07866389,-118.2902556
62512,39.15503611,-123.2206
62513,37.98033611,-121.8997917
62514,34.08076667,-118.3272083
62515,34.04769444,-118.2841111
62516,34.08893333,-117.5239333
62517,34.46047222,-117.2845833
62518,33.73058056,-117.954725
62519,37.979175,-122.3542861
62520,34.21419167,-118.4661222
62521,34.895175,-117.0428139
62522,38.42894167,-121.3715667
62523,34.02998056,-117.5930472
62524,32.71311944,-117.1426611
62525,34.42834444,-119.7377917
62526,34.41233056,-119.7019
62527,33.606,-117.1115139
62528,33.83376111,-118.2086361
62529,33.94107222,-116.5452028
62530,33.45656389,-117.6528472
62531,33.77845,-117.2453333
62532,33.68673056,-117.9698194
62533,39.50143333,-122.2005361
62534,34.092975,-117.8463778
62535,34.12716667,-118.3453389
62536,34.09561389,-117.62855
62537,33.80329444,-118.1079778
62538,34.48314722,-117.3372667
62539,32.79498611,-116.9548694
62540,36.80837222,-119.7271806
62541,34.67509444,-118.1034472
62542,36.31351389,-119.6551306
62543,36.32175833,-119.6494889
62544,34.09939167,-117.8288722
62545,38.75974444,-121.3426583
62546,34.13220278,-117.2261472
62547,34.05783056,-118.4806278
62548,33.71614444,-117.93725
62549,34.13658056,-116.08825
62550,38.14555278,-121.2983472
62551,32.68999722,-117.1023972
62552,33.66048889,-117.8386472
62553,37.98018056,-122.5497
62554,34.03469722,-118.4889333
62555,37.80525833,-122.2787417
62556,34.08277222,-117.9256472
62557,37.40436111,-122.0516306
62558,38.64850833,-121.083325
62559,37.50806111,-122.3404833
62560,33.74547222,-117.8764556
62561,38.76698333,-120.3722556
62562,38.3882,-122.3166389
62563,33.94197778,-118.0265556
