ST_CASE,MONTH,DAY,DAY_WEEK,HOUR,LATITUDE,LONGITUD,HARM_EV,LGT_COND,WEATHER,VE_FORMS,TRAV_SP,DEATHS,DR_DRINK,VSPD_LIM
122411,9,29,6,6,27.93779722,-82.24985,8,3,10,1,45,0,0,45
122412,10,9,2,6,28.48088611,-82.43521389,8,2,1,1,55,0,0,55
122413,9,27,4,8,28.94165,-81.42986389,9,1,1,1,45,0,0,45
122414,10,5,5,19,28.502475,-81.44249722,12,5,1,2,998,1,0,35
122415,10,7,7,20,29.97151111,-82.10163056,8,2,1,1,55,0,0,55
122416,9,29,6,13,28.86548056,-82.03150278,33,1,10,1,60,1,0,30
122417,10,3,3,10,26.10580556,-80.18466389,8,1,1,1,40,0,0,40
122418,10,5,5,8,28.68758333,-81.52051389,12,1,1,2,80,0,0,30
122419,10,5,5,18,26.12920278,-80.16611944,8,1,1,1,20,0,0,25
122420,10,10,3,0,26.65164167,-80.11400278,8,3,1,1,35,0,0,45
122421,10,9,2,6,26.68200833,-81.89586389,12,3,1,2,10,1,0,45
122422,10,9,2,0,25.71864722,-80.31832222,25,3,2,1,55,1,0,55
122423,10,10,3,23,29.85361389,-81.63759167,1,2,1,1,90,1,1,45
122424,10,10,3,12,28.37144722,-82.54285278,34,1,1,1,30,1,0,30
122425,9,27,4,23,30.32166944,-87.40516111,12,3,1,2,15,0,0,25
122426,10,7,7,4,28.327475,-81.55008611,12,3,1,3,65,0,1,65
122427,9,30,7,5,28.84220556,-82.02445833,32,3,10,2,60,1,0,55
122428,10,3,3,22,27.85693889,-82.70008056,8,3,1,1,45,0,0,45
122429,10,8,1,12,26.04531667,-81.67104167,12,1,10,2,30,1,0,50
122430,10,9,2,20,28.78666389,-81.27288889,33,3,1,1,998,1,0,98
122431,10,8,1,17,26.97276111,-81.92784722,30,1,1,1,55,1,1,55
122432,10,9,2,19,30.252575,-81.74303889,12,5,1,2,60,1,0,45
122433,10,7,7,5,28.69262778,-81.15981111,34,2,99,1,25,1,1,25
122434,10,7,7,2,30.44894444,-87.218975,35,3,10,1,85,1,1,65
122435,8,28,2,21,28.34709167,-81.66441667,8,2,1,1,65,0,0,50
122436,10,5,5,23,29.64514444,-82.42243333,12,3,1,2,15,0,0,45
122437,10,5,5,22,26.16588889,-80.16021111,12,3,1,4,65,1,0,65
122438,10,11,4,20,30.32089167,-81.70621667,8,3,8,1,50,0,0,50
122439,9,15,6,19,25.72127222,-80.43146111,9,1,1,1,40,0,0,40
122440,10,8,1,17,26.32633611,-80.20276944,12,1,10,4,998,1,0,45
122441,10,9,2,2,28.01075278,-82.50501944,33,3,1,1,45,1,1,35
122442,10,7,7,15,30.49351944,-85.04401944,12,1,1,2,10,1,0,55
122443,9,30,7,0,26.00096667,-80.24780556,12,3,1,2,40,0,0,45
122444,10,9,2,15,27.82243333,-82.38190278,12,1,10,4,58,1,0,55
122445,10,8,1,23,29.17767222,-81.02897778,9,2,1,1,50,0,0,45
122446,10,12,5,3,24.5887,-81.68879722,9,2,1,1,60,0,0,55
122447,10,8,1,15,27.41951111,-80.38820833,12,1,10,2,70,1,1,70
122448,10,5,5,16,25.47766667,-80.42814444,12,1,1,2,10,0,0,40
122449,10,11,4,7,30.42064722,-84.25051667,8,3,10,1,48,0,0,35
122450,9,26,3,1,26.74596111,-80.09071944,42,3,10,1,65,1,1,65
122451,10,14,7,22,30.35590278,-81.65392222,8,3,1,1,998,0,0,30
122452,10,9,2,22,29.34707222,-83.12420833,1,2,1,1,45,1,0,45
122453,10,9,2,13,27.85047778,-82.78702778,12,1,1,2,35,0,0,45
122454,9,24,1,21,25.59606667,-80.34808889,12,2,1,2,30,1,0,30
122455,10,14,7,8,28.32834722,-82.20972222,30,1,1,1,50,1,0,50
122456,10,14,7,11,28.33987222,-82.66613333,12,1,1,2,15,1,0,45
122457,10,5,5,20,29.58653333,-82.94658889,42,2,10,1,55,1,0,55
122458,10,7,7,12,30.70031111,-86.57116111,12,1,1,3,20,0,0,45
122459,10,13,6,3,26.39416111,-80.19235833,42,3,1,1,45,1,1,45
122460,10,14,7,16,28.01076944,-82.46895556,12,1,1,2,80,1,0,35
122461,10,15,1,12,30.25851667,-81.60047222,42,1,1,1,95,1,0,35
122462,10,15,1,11,30.3267,-81.64655833,9,1,1,1,5,0,0,30
122463,10,16,2,3,26.88275556,-80.13243333,24,3,1,1,55,1,0,98
122464,10,5,5,20,28.65266667,-81.34798611,8,3,1,1,40,0,0,45
122465,9,30,7,4,26.69502222,-80.17295,8,2,1,1,998,0,0,40
122466,10,10,3,5,25.81759444,-80.24868611,8,4,1,2,30,0,0,40
122467,10,15,1,23,26.6088,-81.82043333,15,3,1,1,20,0,0,25
122468,10,13,6,17,25.76093056,-80.44893056,12,1,1,2,45,1,0,45
122469,10,11,4,12,30.22993056,-81.51389722,59,1,1,1,65,1,0,65
122470,10,12,5,20,28.8845,-81.9063,8,2,1,1,40,0,0,50
122471,10,15,1,20,30.47677222,-84.41173889,12,2,1,2,55,1,0,55
122472,10,12,5,5,30.52073056,-87.31261111,12,2,2,3,70,1,0,70
122473,9,13,4,21,27.96555278,-81.87826944,9,3,1,1,998,0,0,50
122474,9,17,1,10,25.96480556,-80.17452778,9,1,1,1,998,0,0,98
122475,10,15,1,18,28.03318333,-82.01076111,12,1,1,2,998,1,1,40
122476,10,16,2,8,29.339825,-81.49915278,12,1,1,3,75,1,0,60
122477,10,13,6,6,25.89736111,-80.21133611,33,4,1,3,45,1,0,35
122478,9,30,7,15,30.61678889,-84.76634444,12,1,1,2,70,1,0,70
122479,10,13,6,21,28.87349167,-81.78074722,8,2,1,1,40,0,0,40
122480,10,14,7,2,29.20554167,-82.18446667,12,2,1,2,0,0,0,70
122482,9,27,4,7,30.42362222,-84.30224444,8,3,10,1,20,0,0,35
122483,10,14,7,20,27.90859167,-82.35649722,12,3,1,2,15,0,0,45
122484,10,16,2,11,26.63146667,-81.95976667,12,1,1,2,30,1,0,30
122485,10,17,3,10,27.01980833,-82.18652222,12,1,1,2,35,1,0,35
122486,10,16,2,2,27.93682222,-82.43539444,9,3,1,1,65,0,1,55
122487,10,16,2,23,29.01493056,-82.45498611,42,2,1,1,55,1,1,55
122488,10,16,2,15,28.65398056,-81.33066389,8,1,1,1,15,0,0,25
122489,10,19,5,0,30.41541944,-81.65691944,8,2,1,1,70,0,0,70
122490,9,26,3,8,27.54508056,-80.37613889,9,1,1,1,45,0,0,50
122491,10,17,3,3,28.64546667,-81.79473889,1,2,1,1,90,1,0,70
122492,10,11,4,2,30.48136389,-87.22586944,8,2,2,1,35,0,0,40
122493,10,12,5,3,27.96786944,-82.54990556,24,3,2,1,998,1,0,50
